상권_코드_명,상권별_매출액_평균,상권별_매출건수_평균,프랜차이즈_점포_수,식료품_지출_총금액,교통_지출_총금액,점포_수,개업_점포_수,폐업_점포_수,시군구_명,시간대_아침점심_생활인구_수,시간대_오후저녁_생활인구_수,시간대_밤새벽_생활인구_수
삼선동주민센터,230466963.4574468,16243.968085106382,17,502182992.0,226141256.0,232,33,6,성북구,46156,43055,48842
삼선중학교,254439103.47560972,14661.121951219511,17,202565564.0,144814512.0,172,19,2,성북구,27464,24171,29058
상월곡역 1번,133455626.84,10465.392,12,242954813.0,117934186.0,171,18,3,성북구,26309,22942,33953
상월곡역 2번,241698119.1590909,14771.636363636364,4,431138157.0,238881494.0,128,4,2,성북구,15790,15532,16287
상월곡역 3번,134597844.76190478,9290.642857142857,7,270928388.0,144038086.0,68,3,1,성북구,18548,15453,21999
서경대학교,183022231.5,11998.290909090909,13,887209975.0,661858776.0,150,17,3,성북구,26743,21867,37805
석계역 7번,326650724.734375,16735.2890625,27,428226247.0,251076042.0,243,20,5,성북구,18689,17111,24317
석관고등학교,132565327.22222222,10160.75,4,246857968.0,137407427.0,70,4,1,성북구,5951,4825,7908
석관중앙교회,153125172.02272728,4575.306818181818,9,302130246.0,121976752.0,130,10,1,성북구,20699,16090,30937
성북초등학교앞,171111549.30769232,4783.128205128205,2,51563645.0,28562518.0,52,6,0,성북구,3212,2995,3845
성신여대입구역 1번,111893614.30379748,8709.594936708861,11,306986541.0,178839216.0,155,14,2,성북구,25842,19564,33783
성신여대입구역 4번,166362482.05747128,10856.413793103447,12,325584902.0,204728240.0,128,9,2,성북구,19078,19013,20777
성신여대입구역 7번,543978663.8043479,12258.565217391304,9,485438674.0,304299346.0,120,15,3,성북구,22638,17180,29340
솔숲어린이공원,87777262.95652173,8645.239130434782,5,94337917.0,54185441.0,33,1,0,성북구,5046,4605,6517
숭곡초등학교,259546196.0613497,13870.257668711656,24,472440258.0,200536994.0,353,30,8,성북구,44086,41946,46909
안암역 2번,459792500.3432836,45995.850746268654,23,126216278.0,63272891.0,136,17,2,성북구,12091,10553,9969
안암역 3번,420435556.491228,25786.88596491228,58,129211427.0,63392014.0,256,36,8,성북구,24305,26777,22761
우리은행체육관,136169782.79166666,5301.125,4,332337888.0,189491972.0,81,9,2,성북구,8168,6024,11779
월곡역 4번,122681200.75,18332.25,2,56592817.0,36918785.0,12,0,0,성북구,3144,3150,2301
의릉,179964099.67741936,12825.612903225809,8,201748887.0,131867261.0,52,7,0,성북구,4926,5260,5728
장곡초등학교,144738876.57831326,10680.132530120482,12,371302962.0,222761201.0,126,14,2,성북구,18247,16586,23851
장위1동주민센터,103779364.44262294,7601.852459016393,6,312471243.0,227506923.0,62,8,1,성북구,15304,10862,25408
장위동성당,124971410.31707317,10443.487804878048,4,173013845.0,119323328.0,26,0,0,성북구,9775,6702,13371
정릉3동주민센터,179458240.9090909,13369.886363636364,6,158755889.0,105214486.0,42,3,0,성북구,5517,3505,7101
정릉북한산국립공원입구,168730886.23214287,13694.267857142857,2,299988900.0,222996976.0,43,5,1,성북구,2481,2267,3171
정릉역 1번,293741540.6166667,18619.225,15,441083201.0,231337378.0,259,34,4,성북구,28204,27965,34190
