상권_코드_명,폐업_점포_수
한울중학교,5
한일병원,1
한전아트센터,1
합정역 8번,9
해방촌 남동측,6
해방촌예술마을,2
해오름공원,2
행당역 2번,2
헌인가구단지,1
혜원여고,1
혜화역 1번,1
혜회동주민센터,1
호림박물관(성보고등학교),1
홍남교남측,0
홍대땡땡거리,6
홍대부속여중고앞,6
홍대부중,3
홍대입구역 3번,4
홍릉근린공원,0
홍릉시장,3
홍연시장,1
홍은종합사회복지관,3
홍은중학교,2
홍익대,1
홍익지구대,1
홍제3동주민센터,4
홍제성원아파트,0
홍제역 2번,3
홍제역 3번,1
홍제역 4번,1
홍지문,0
홍파초등학교,2
화계역 2번,0
화계중학교,0
화곡2동주민센터,5
화곡4동주민센터,4
화곡보람2차아파트,2
화곡역 2번,3
화곡역 4번,9
화곡역 5번,9
화곡초등학교,3
화랑대역 7번,1
화랑대철도공원,0
화양사거리,7
화원어린이공원,2
화원중학교,3
황학동벼룩시장,1
황학코아루아파트,3
회기역 1번,0
회기역 2번,0
회현역 1번,0
효문고등학교,0
효창공원앞역 2번,2
효창공원앞역 5번,3
효창공원앞역 6번,4
효창동주민센터,2
후암동주민센터,6
흑리단길,4
흑석2치안센터,0
